Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
AR Sharma,2024-2025,2,1,0,1,1,1,1,100,0,0,0,0,0
R Sharma,2011-2013,3,1,0,1,1,1,1,100,0,0,0,0,0
MA Starc,2015-2025,4,2,0,1,1,0.5,10,10,0,0,1,0,0
Suryansh Shedge,2025-2025,1,1,0,1,1,1,3,33.33,0,0,0,0,0
PV Tambe,2015-2015,1,1,1,1,1*,-,1,100,0,0,0,0,0
AC Thomas,2011-2011,1,1,1,1,1*,-,2,50,0,0,0,0,0
A Zampa,2023-2023,1,1,0,1,1,1,1,100,0,0,0,0,0
VR Aaron,2011-2012,3,1,0,0,0,0,2,0,0,0,1,0,0
Ankit Sharma,2012-2015,2,1,0,0,0,0,1,0,0,0,1,0,0
Anmolpreet Singh,2024-2024,1,1,0,0,0,0,1,0,0,0,1,0,0
P Awana,2012-2013,2,1,1,0,0*,-,0,-,0,0,0,0,0
R Bhatia,2008-2015,6,2,1,0,0*,0,2,0,0,0,1,0,0
RR Bhatkal,2012-2012,1,1,0,0,0,0,2,0,0,0,1,0,0
TU Deshpande,2023-2024,14,1,1,0,0*,-,1,0,0,0,0,0,0
AB Dinda,2008-2013,3,1,1,0,0*,-,0,-,0,0,0,0,0
SB Dubey,2024-2024,1,1,0,0,0,0,1,0,0,0,1,0,0
J Fraser-McGurk,2025-2025,1,1,0,0,0,0,5,0,0,0,1,0,0
C Ganapathy,2010-2010,1,1,1,0,0*,-,0,-,0,0,0,0,0
S Gopal,2019-2019,1,1,0,0,0,0,3,0,0,0,1,0,0
Sunny Gupta,2012-2012,1,1,0,0,0,0,1,0,0,0,1,0,0
Gurkeerat Singh,2013-2013,1,1,0,0,0,0,1,0,0,0,1,0,0
U Kaul,2008-2008,1,1,1,0,0*,-,1,0,0,0,0,0,0
Kuldeep Yadav,2018-2025,4,2,1,0,0*,0,2,0,0,0,1,0,0
B Laughlin,2013-2013,1,1,0,0,0,0,1,0,0,0,1,0,0
Mohammed Siraj,2019-2024,5,2,2,0,0*,-,2,0,0,0,0,0,0
Mohsin Khan,2023-2024,2,1,0,0,0,0,7,0,0,0,1,0,0
A Mukund,2008-2008,1,1,0,0,0,0,1,0,0,0,1,0,0
DJ Muthuswami,2015-2015,1,1,1,0,0*,-,0,-,0,0,0,0,0
S Nadeem,2011-2021,2,1,0,0,0,0,1,0,0,0,1,0,0
DG Nalkande,2023-2023,1,1,0,0,0,0,1,0,0,0,1,0,0
DP Nannes,2010-2013,5,1,1,0,0*,-,0,-,0,0,0,0,0
T Natarajan,2021-2024,5,1,1,0,0*,-,0,-,0,0,0,0,0
M Ntini,2008-2008,4,1,1,0,0*,-,6,0,0,0,0,0,0
M Prasidh Krishna,2019-2021,4,1,0,0,0,0,2,0,0,0,1,0,0
R Rampaul,2013-2013,1,1,0,0,0,0,4,0,0,0,1,0,0
HR Shokeen,2023-2023,1,1,1,0,0*,-,1,0,0,0,0,0,0
VRV Singh,2008-2008,1,1,0,0,0,0,1,0,0,0,1,0,0
S Sreesanth,2008-2011,2,1,1,0,0*,-,0,-,0,0,0,0,0
J Theron,2010-2010,1,1,0,0,0,0,1,0,0,0,1,0,0
P Amarnath,2008-2008,3,-,-,-,-,-,-,-,-,-,-,-,-
S Ladda,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
Akash Singh,2023-2023,3,-,-,-,-,-,-,-,-,-,-,-,-
Anirudh Singh,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
S Aravind,2011-2011,2,-,-,-,-,-,-,-,-,-,-,-,-
Avesh Khan,2021-2024,5,-,-,-,-,-,-,-,-,-,-,-,-
SB Bangar,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
JP Behrendorff,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
BA Bhatt,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-
N Burger,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
A Chandila,2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-
PD Collingwood,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
KK Cooper,2012-2013,2,-,-,-,-,-,-,-,-,-,-,-,-
MJ Dagar,2023-2024,2,-,-,-,-,-,-,-,-,-,-,-,-
M de Lange,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-
ND Doshi,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
NT Ellis,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-
RJ Gleeson,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
R Goyal,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
RS Hangargekar,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
Harmeet Singh,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
Harpreet Brar,2023-2025,3,-,-,-,-,-,-,-,-,-,-,-,-
Harshit Rana,2023-2025,3,-,-,-,-,-,-,-,-,-,-,-,-
JR Hazlewood,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-
MJ Henry,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
BW Hilfenhaus,2012-2012,4,-,-,-,-,-,-,-,-,-,-,-,-
Jaskaran Singh,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
AS Joseph,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
S Randiv,2011-2011,5,-,-,-,-,-,-,-,-,-,-,-,-
CK Kapugedera,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
SC Kuggeleijn,2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
DS Kulkarni,2008-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
B Lee,2012-2012,2,-,-,-,-,-,-,-,-,-,-,-,-
MJ McClenaghan,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-
GD McGrath,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
SSB Magala,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
VY Mahesh,2008-2012,2,-,-,-,-,-,-,-,-,-,-,-,-
A Madhwal,2023-2023,2,-,-,-,-,-,-,-,-,-,-,-,-
M Markande,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
AF Milne,2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,-
Mohammad Asif,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
M Morkel,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-
Mukesh Choudhary,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-
Mukesh Kumar,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-
Mustafizur Rahman,2024-2024,6,-,-,-,-,-,-,-,-,-,-,-,-
S Narwal,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
R Ninan,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
PP Ojha,2008-2013,5,-,-,-,-,-,-,-,-,-,-,-,-
IC Pandey,2015-2015,5,-,-,-,-,-,-,-,-,-,-,-,-
Pankaj Singh,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
MM Patel,2008-2013,3,-,-,-,-,-,-,-,-,-,-,-,-
M Pathirana,2023-2025,13,-,-,-,-,-,-,-,-,-,-,-,-
V Pratap Singh,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-
V Puthur,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-
K Rabada,2021-2024,4,-,-,-,-,-,-,-,-,-,-,-,-
R Sai Kishore,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
D Salunkhe,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
PJ Sangwan,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
KR Sen,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
Shoaib Malik,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
R Shukla,2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-
Simarjeet Singh,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
RP Singh,2008-2013,4,-,-,-,-,-,-,-,-,-,-,-,-
A Singh,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-
Sohail Tanvir,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
TG Southee,2011-2011,2,-,-,-,-,-,-,-,-,-,-,-,-
SJ Srivastava,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
DW Steyn,2008-2013,4,-,-,-,-,-,-,-,-,-,-,-,-
Suyash Sharma,2023-2025,2,-,-,-,-,-,-,-,-,-,-,-,-
SW Tait,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
SN Thakur,2018-2024,9,-,-,-,-,-,-,-,-,-,-,-,-
Yash Thakur,2023-2024,3,-,-,-,-,-,-,-,-,-,-,-,-
M Theekshana,2023-2024,10,-,-,-,-,-,-,-,-,-,-,-,-
T Thushara,2010-2010,2,-,-,-,-,-,-,-,-,-,-,-,-
SK Trivedi,2011-2013,3,-,-,-,-,-,-,-,-,-,-,-,-
AJ Tye,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
Umran Malik,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
WPUJC Vaas,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
DP Vijaykumar,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
SB Wagh,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
SK Warne,2008-2011,3,-,-,-,-,-,-,-,-,-,-,-,-
AS Yadav,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
Yash Dayal,2024-2025,2,-,-,-,-,-,-,-,-,-,-,-,-
VS Yeligati,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
Zeeshan Ansari,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-
Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
V Kohli,2008-2025,92,90,11,3140,113,39.74,2197,142.92,4,23,5,287,132
AB de Villiers,2008-2019,60,58,13,1960,129*,43.55,1216,161.18,1,15,2,155,118
CH Gayle,2010-2019,44,44,6,1561,175*,41.07,976,159.93,3,8,3,121,127
F du Plessis,2014-2025,18,18,3,653,79*,43.53,409,159.65,0,8,0,63,35
KD Karthik,2008-2024,33,30,3,505,83,18.7,340,148.52,0,2,4,41,24
MS Dhoni,2008-2024,12,12,6,489,84*,81.5,270,181.11,0,5,0,38,33
KL Rahul,2013-2025,18,15,4,475,93*,43.18,330,143.93,0,3,1,40,22
Q de Kock,2014-2024,11,11,0,465,108,42.27,318,146.22,1,3,0,52,19
Mandeep Singh,2012-2019,22,19,4,413,52,27.53,299,138.12,0,1,3,38,15
MK Pandey,2008-2023,15,13,3,402,94,40.2,313,128.43,0,3,0,39,14
RV Uthappa,2008-2019,18,17,4,401,69,30.84,261,153.63,0,4,1,39,22
AT Rayudu,2010-2023,11,11,2,394,82,43.77,303,130.03,0,3,1,29,20
JH Kallis,2008-2013,16,16,2,388,89*,27.71,317,122.39,0,2,1,47,10
GJ Maxwell,2012-2024,18,18,1,354,77,20.82,207,171.01,0,3,2,23,28
AM Rahane,2012-2024,9,8,1,351,103*,50.14,230,152.6,1,1,0,42,12
DA Warner,2010-2024,9,9,0,350,69,38.88,216,162.03,0,4,0,34,19
Yuvraj Singh,2008-2019,14,14,1,345,83,26.53,220,156.81,0,2,0,23,26
TM Dilshan,2008-2013,11,11,2,326,71,36.22,299,109.03,0,3,1,40,6
BB McCullum,2008-2018,11,11,1,323,158*,32.3,212,152.35,1,0,1,30,19
PA Patel,2008-2019,21,20,1,308,53,16.21,261,118,0,1,1,37,8
G Gambhir,2008-2018,11,11,1,302,64,30.2,239,126.35,0,2,0,36,5
S Dhawan,2008-2024,10,10,3,286,73*,40.85,243,117.69,0,2,1,29,8
R Dravid,2008-2013,16,14,0,283,66,20.21,248,114.11,0,2,2,30,6
KM Jadhav,2010-2019,13,13,4,283,69,31.44,192,147.39,0,2,1,25,11
SR Watson,2008-2019,17,17,2,271,61*,18.06,203,133.49,0,1,1,28,14
MA Agarwal,2011-2019,15,14,1,270,64*,20.76,188,143.61,0,1,1,25,17
WP Saha,2008-2024,11,10,1,258,115*,28.66,195,132.3,1,0,0,24,12
SS Tiwary,2010-2016,18,15,6,243,52,27,215,113.02,0,1,0,21,8
RG Sharma,2008-2023,13,12,0,235,57,19.58,193,121.76,0,1,2,23,9
KA Pollard,2010-2019,11,10,4,230,70,38.33,154,149.35,0,2,0,16,14
YK Pathan,2008-2019,11,11,3,221,60*,27.62,147,150.34,0,1,1,17,14
RM Patidar,2024-2025,11,11,0,215,52,19.54,162,132.71,0,1,0,12,13
MP Stoinis,2018-2025,9,9,3,210,65,35,134,156.71,0,1,1,12,15
DR Smith,2008-2016,7,6,0,197,73,32.83,120,164.16,0,1,0,19,12
AR Patel,2014-2025,10,9,3,192,57,32,118,162.71,0,1,0,20,8
JP Duminy,2010-2018,5,5,3,187,67*,93.5,126,148.41,0,1,0,14,9
SS Iyer,2015-2025,6,6,1,185,67,37,137,135.03,0,2,1,15,8
TM Head,2016-2024,4,4,2,183,102,91.5,98,186.73,1,1,1,12,13
CA Lynn,2016-2019,6,6,1,180,62*,36,127,141.73,0,2,0,16,9
KS Williamson,2015-2019,4,4,1,180,81,60,120,150,0,2,0,14,10
SV Samson,2014-2023,6,6,1,177,92*,35.4,107,165.42,0,1,0,8,15
AJ Finch,2012-2018,7,7,0,169,72,24.14,126,134.12,0,1,1,17,8
SK Raina,2008-2019,11,11,1,167,62,16.7,131,127.48,0,1,3,14,10
RR Pant,2017-2019,3,3,0,160,85,53.33,98,163.26,0,2,0,11,11
MM Ali,2018-2023,7,7,2,159,65,31.8,91,174.72,0,1,0,10,12
MS Bisla,2010-2015,5,5,0,159,75,31.8,115,138.26,0,1,0,15,8
MK Lomror,2019-2024,12,10,2,151,34,18.87,91,165.93,0,0,1,7,12
SP Narine,2013-2024,10,7,2,151,54,30.2,81,186.41,0,1,0,13,11
N Pooran,2019-2024,3,3,1,148,62,74,68,217.64,0,1,0,6,17
N Rana,2016-2025,6,6,1,148,48,29.6,103,143.68,0,0,0,10,8
SR Tendulkar,2008-2013,6,6,2,148,55*,37,138,107.24,0,1,1,20,1
TH David,2023-2025,5,5,2,146,50*,48.66,86,169.76,0,1,0,12,10
KK Nair,2013-2018,5,5,1,143,56,35.75,113,126.54,0,2,1,18,1
CL White,2008-2013,8,7,1,143,52,23.83,94,152.12,0,1,1,8,9
M Vohra,2013-2018,7,6,0,141,67,23.5,120,117.5,0,1,1,9,7
DA Miller,2013-2024,8,8,1,139,66,19.85,102,136.27,0,1,0,15,5
AD Russell,2015-2024,6,5,1,133,48*,33.25,57,233.33,0,0,1,7,14
SPD Smith,2012-2019,5,4,1,132,48*,44,90,146.66,0,0,0,13,5
RA Jadeja,2008-2024,13,11,2,131,42*,14.55,113,115.92,0,0,0,9,5
KH Pandya,2016-2025,11,9,3,130,45*,21.66,108,120.37,0,0,1,14,2
Shubman Gill,2018-2025,5,5,3,128,104*,64,78,164.1,1,0,0,7,9
JC Buttler,2016-2025,5,5,2,127,73*,42.33,71,178.87,0,1,1,8,10
AC Gilchrist,2008-2013,4,4,1,127,85*,42.33,85,149.41,0,1,1,15,5
SN Khan,2015-2018,9,7,4,125,45*,41.66,56,223.21,0,0,1,15,5
C de Grandhomme,2017-2019,8,8,3,121,40,24.2,80,151.25,0,0,1,3,10
C Green,2023-2024,7,7,2,121,38*,24.2,82,147.56,0,0,0,10,7
V Sehwag,2008-2014,6,6,0,121,47,20.16,88,137.5,0,0,1,21,1
LRPL Taylor,2008-2010,5,5,1,121,53,30.25,73,165.75,0,1,0,10,7
STR Binny,2013-2019,14,8,1,120,33,17.14,78,153.84,0,0,0,10,6
D Padikkal,2023-2025,5,5,0,113,52,22.6,83,136.14,0,2,0,12,4
V Shankar,2017-2024,5,4,0,112,53,28,77,145.45,0,1,0,11,6
PD Salt,2024-2025,5,5,0,111,37,22.2,77,144.15,0,0,0,12,6
SA Yadav,2014-2023,8,7,2,108,38,21.6,87,124.13,0,0,0,11,2
HH Pandya,2015-2023,6,4,3,107,50,107,66,162.12,0,1,0,7,7
MEK Hussey,2008-2013,4,4,0,106,49,26.5,88,120.45,0,0,0,12,3
D Wiese,2015-2023,8,6,4,106,47*,53,67,158.2,0,0,0,10,5
P Negi,2016-2019,13,11,1,103,32,10.3,88,117.04,0,0,2,7,4
W Jaffer,2008-2008,4,4,0,100,50,25,90,111.11,0,1,1,11,2
YBK Jaiswal,2023-2025,2,2,0,96,49,48,56,171.42,0,0,0,12,5
R Vinay Kumar,2008-2013,24,10,3,95,25,13.57,89,106.74,0,0,0,5,2
SO Hetmyer,2019-2025,4,4,0,94,75,23.5,70,134.28,0,1,0,5,6
P Kumar,2008-2016,18,12,3,93,34,10.33,86,108.13,0,0,2,8,6
LS Livingstone,2019-2025,5,5,1,90,54,22.5,72,125,0,1,0,4,7
Gurkeerat Singh,2016-2019,3,3,0,89,65,29.66,69,128.98,0,1,0,11,1
Anuj Rawat,2023-2024,7,6,3,88,25*,29.33,89,98.87,0,0,0,8,1
NV Ojha,2010-2017,7,6,0,87,33,14.5,79,110.12,0,0,1,7,3
JD Ryder,2011-2012,2,2,0,85,51,42.5,56,151.78,0,1,0,8,3
JM Sharma,2024-2025,5,5,1,85,33,21.25,69,123.18,0,0,0,10,3
NT Tilak Varma,2023-2023,1,1,1,84,84*,-,46,182.6,0,1,0,9,4
DP Conway,2023-2023,1,1,0,83,83,83,45,184.44,0,1,0,6,6
DJ Bravo,2011-2019,8,8,2,82,33*,13.66,51,160.78,0,0,0,7,4
VR Iyer,2023-2024,2,2,0,81,50,40.5,56,144.64,0,1,0,6,4
DC Jurel,2023-2025,2,2,1,81,47,81,50,162,0,0,0,5,5
R Ashwin,2010-2023,10,7,2,79,33,15.8,51,154.9,0,0,0,7,3
SE Marsh,2008-2017,5,5,0,79,39,15.8,73,108.21,0,0,0,10,1
S Badrinath,2008-2013,5,4,1,78,47,26,66,118.18,0,0,1,11,2
TL Suman,2010-2010,1,1,1,78,78*,-,57,136.84,0,1,0,6,3
RS Bopara,2010-2015,2,1,0,77,77,77,50,154,0,1,0,9,2
DPMD Jayawardene,2008-2013,4,4,2,74,28,37,73,101.36,0,0,0,7,1
H Klaasen,2019-2024,2,2,0,73,67,36.5,38,192.1,0,1,0,2,7
SP Goswami,2008-2018,4,2,0,72,52,36,66,109.09,0,1,0,8,1
MK Tiwary,2010-2017,5,5,1,71,27,17.75,58,122.41,0,0,1,6,2
R McLaren,2010-2013,3,3,0,70,40,23.33,77,90.9,0,0,0,5,0
S Dube,2019-2024,3,3,1,68,52,34,47,144.68,0,1,0,2,6
IK Pathan,2008-2014,5,5,4,67,24,67,43,155.81,0,0,0,6,3
Azhar Mahmood,2012-2013,2,2,0,63,61,31.5,45,140,0,1,0,8,1
MV Boucher,2008-2011,10,8,2,63,18,10.5,66,95.45,0,0,0,6,1
Iqbal Abdulla,2011-2017,6,4,3,62,33*,62,49,126.53,0,0,0,8,1
LMP Simmons,2015-2017,2,2,0,62,59,31,50,124,0,1,0,9,2
R Ravindra,2024-2024,1,1,0,61,61,61,37,164.86,0,1,0,5,3
JJ Roy,2018-2023,2,2,0,61,56,30.5,45,135.55,0,1,0,4,5
M Vijay,2010-2016,7,7,0,61,32,8.71,57,107.01,0,0,0,5,3
OA Shah,2012-2012,1,1,0,60,60,60,26,230.76,0,1,0,5,5
Sachin Baby,2016-2016,7,4,2,59,25*,29.5,34,173.52,0,0,1,5,4
UBT Chand,2015-2015,1,1,0,58,58,58,37,156.75,0,1,0,8,2
Misbah-ul-Haq,2008-2008,4,4,1,58,47*,19.33,38,152.63,0,0,1,3,4
Washington Sundar,2018-2019,7,5,2,58,35,19.33,31,187.09,0,0,1,4,4
DJ Hussey,2008-2014,3,2,0,57,45,28.5,41,139.02,0,0,0,3,4
AB McDonald,2010-2013,4,4,1,57,30,19,43,132.55,0,0,1,6,3
B Sai Sudharsan,2024-2025,2,2,0,55,49,27.5,50,110,0,0,0,7,1
ST Jayasuriya,2008-2008,1,1,0,54,54,54,37,145.94,0,1,0,4,4
NLTC Perera,2013-2016,2,2,0,54,40,27,32,168.75,0,0,0,2,5
KP Pietersen,2010-2014,2,2,0,54,33,27,45,120,0,0,0,3,2
N Wadhera,2023-2025,2,2,1,54,33*,54,32,168.75,0,0,0,4,5
A Symonds,2010-2010,1,1,1,53,53*,-,24,220.83,0,1,0,5,3
R Tewatia,2014-2025,6,4,3,53,35,53,37,143.24,0,0,0,8,1
VVS Laxman,2008-2008,1,1,0,52,52,52,44,118.18,0,1,0,7,0
CA Pujara,2010-2013,6,4,0,52,19,13,49,106.12,0,0,0,4,3
BCJ Cutting,2016-2018,2,2,2,51,39*,-,21,242.85,0,0,0,4,5
N Saini,2012-2012,1,1,0,50,50,50,36,138.88,0,1,0,5,0
AD Nath,2016-2019,5,4,0,49,24,12.25,45,108.88,0,0,0,5,1
SC Ganguly,2008-2012,3,3,0,49,33,16.33,52,94.23,0,0,0,4,2
WG Jacks,2024-2024,3,3,0,49,41,16.33,36,136.11,0,0,0,4,2
GC Smith,2008-2008,1,1,0,49,49,49,42,116.66,0,0,0,8,0
RT Ponting,2008-2013,2,2,0,48,28,24,53,90.56,0,0,0,2,2
DJ Harris,2012-2012,1,1,0,47,47,47,41,114.63,0,0,0,2,4
ML Hayden,2008-2010,2,2,0,45,32,22.5,47,95.74,0,0,0,7,0
Z Khan,2008-2017,25,10,6,45,17*,11.25,48,93.75,0,0,2,5,0
MA Starc,2014-2025,12,4,2,45,29,22.5,39,115.38,0,0,0,5,0
RA Tripathi,2017-2018,2,2,1,45,31,45,28,160.71,0,0,0,4,2
JP Faulkner,2013-2017,3,2,1,44,41*,44,24,183.33,0,0,0,3,3
M Kaif,2008-2012,8,5,2,44,15,14.66,44,100,0,0,0,4,0
EJG Morgan,2010-2016,7,5,1,44,22*,11,45,97.77,0,0,0,4,0
MC Henriques,2013-2016,6,5,3,42,19,21,41,102.43,0,0,0,6,0
JA Morkel,2008-2014,6,4,1,41,19,13.66,37,110.81,0,0,0,1,3
T Stubbs,2024-2025,2,2,1,41,38*,41,27,151.85,0,0,0,4,1
MJ Guptill,2017-2019,2,2,0,39,30,19.5,33,118.18,0,0,0,3,2
Prabhsimran Singh,2024-2025,2,2,0,38,25,19,26,146.15,0,0,0,4,2
S Rana,2014-2014,3,3,2,38,18,38,36,105.55,0,0,0,3,1
Abdul Samad,2024-2024,1,1,1,37,37*,-,10,370,0,0,0,4,3
AD Hales,2018-2018,1,1,0,37,37,37,24,154.16,0,0,0,2,3
M Shahrukh Khan,2024-2025,2,1,0,37,37,37,24,154.16,0,0,0,5,1
Shahbaz Ahmed,2023-2024,7,4,1,36,20*,12,31,116.12,0,0,0,3,1
A Ashish Reddy,2012-2016,4,2,0,35,32,17.5,22,159.09,0,0,0,2,3
Abhishek Sharma,2024-2024,1,1,0,34,34,34,22,154.54,0,0,0,2,2
SW Billings,2017-2018,2,2,0,34,25,17,26,130.76,0,0,0,3,1
MN Samuels,2012-2012,1,1,0,34,34,34,20,170,0,0,0,1,2
S Aravind,2011-2017,19,5,3,33,14*,16.5,37,89.18,0,0,0,3,0
IR Jaggi,2017-2017,2,2,1,33,28,33,39,84.61,0,0,0,3,0
KC Sangakkara,2010-2013,3,2,1,33,23,33,27,122.22,0,0,0,3,1
KV Sharma,2014-2024,9,3,2,33,26*,33,22,150,0,0,0,4,1
AK Markram,2024-2024,1,1,1,32,32*,-,17,188.23,0,0,0,2,2
HV Patel,2012-2024,23,8,1,31,10,4.42,24,129.16,0,0,2,2,2
RR Sarwan,2008-2008,1,1,0,31,31,31,29,106.89,0,0,0,4,1
A Badoni,2023-2024,2,2,0,30,30,15,27,111.11,0,0,1,4,0
SE Rutherford,2025-2025,1,1,1,30,30*,-,18,166.66,0,0,0,1,3
SD Hope,2024-2024,1,1,0,29,29,29,23,126.08,0,0,0,4,0
SS Prabhudessai,2023-2023,3,3,0,29,19,9.66,22,131.81,0,0,1,1,2
RR Rossouw,2014-2015,4,4,0,29,14,7.25,37,78.37,0,0,1,2,1
BA Stokes,2017-2018,2,2,0,29,27,14.5,24,120.83,0,0,0,2,1
VH Zol,2014-2014,3,2,0,29,16,14.5,26,111.53,0,0,0,3,1
J Fraser-McGurk,2024-2025,2,2,0,28,21,14,14,200,0,0,0,3,2
PP Shaw,2019-2023,2,2,0,28,28,14,24,116.66,0,0,1,5,0
N Jagadeesan,2023-2023,1,1,0,27,27,27,29,93.1,0,0,0,4,0
S Sriram,2010-2010,1,1,0,27,27,27,29,93.1,0,0,0,3,0
R Bhatia,2008-2016,6,3,2,26,13,26,12,216.66,0,0,0,3,1
MG Bracewell,2023-2023,2,1,0,26,26,26,16,162.5,0,0,0,5,0
PP Chawla,2008-2023,14,4,2,26,13*,13,19,136.84,0,0,0,1,2
Ishan Kishan,2017-2023,3,3,0,26,16,8.66,25,104,0,0,1,6,0
KB Arun Karthik,2011-2013,8,3,1,25,19*,12.5,26,96.15,0,0,0,3,0
M Klinger,2011-2011,1,1,0,24,24,24,25,96,0,0,0,3,0
B Kumar,2012-2025,13,7,5,24,8,12,37,64.86,0,0,0,3,0
MR Marsh,2010-2023,3,2,0,24,24,12,27,88.88,0,0,1,0,2
DL Vettori,2011-2012,10,3,0,24,20,8,18,133.33,0,0,0,3,1
VR Aaron,2014-2019,14,4,3,23,17*,23,19,121.05,0,0,0,1,2
SM Curran,2024-2024,1,1,0,23,23,23,17,135.29,0,0,0,3,0
A Nortje,2023-2023,1,1,1,23,23*,-,14,164.28,0,0,0,4,0
MM Sharma,2013-2025,9,5,1,23,14,5.75,25,92,0,0,1,3,0
RK Singh,2023-2024,2,2,2,23,18*,-,15,153.33,0,0,0,2,1
GJ Bailey,2010-2016,5,5,0,22,18,4.4,42,52.38,0,0,1,2,0
CA Ingram,2019-2019,1,1,0,22,22,22,21,104.76,0,0,0,2,1
DJ Jacobs,2011-2011,1,1,0,22,22,22,16,137.5,0,0,0,2,2
DS Kulkarni,2008-2018,5,3,1,22,10*,11,12,183.33,0,0,0,4,0
R Parag,2019-2025,2,1,0,22,22,22,10,220,0,0,0,2,2
Shashank Singh,2024-2025,2,2,1,22,21*,22,13,169.23,0,0,0,1,2
PC Valthaty,2011-2011,1,1,0,21,21,21,16,131.25,0,0,0,4,0
B Chipli,2008-2008,3,3,0,20,10,6.66,28,71.42,0,0,0,3,0
M Manhas,2010-2014,5,3,2,20,11*,20,22,90.9,0,0,0,2,0
A Choudhary,2017-2017,3,2,1,19,15*,19,18,105.55,0,0,0,1,0
ER Dwivedi,2016-2016,1,1,0,19,19,19,9,211.11,0,0,0,1,2
BJ Hodge,2011-2013,3,3,1,19,13,9.5,31,61.29,0,0,0,1,0
DJ Hooda,2016-2023,4,4,1,19,9,6.33,23,82.6,0,0,0,2,0
DR Martyn,2010-2010,1,1,0,19,19,19,24,79.16,0,0,0,1,0
Rashid Khan,2017-2025,6,2,0,19,18,9.5,16,118.75,0,0,0,2,1
YV Takawale,2008-2014,2,1,0,19,19,19,17,111.76,0,0,0,4,0
RN ten Doeschate,2012-2015,3,3,0,19,12,6.33,14,135.71,0,0,0,2,1
Aman Hakim Khan,2023-2023,1,1,0,18,18,18,10,180,0,0,0,1,1
AP Tare,2010-2017,2,1,0,18,18,18,17,105.88,0,0,0,3,0
Y Venugopal Rao,2010-2012,2,1,0,18,18,18,23,78.26,0,0,0,1,0
CJ Anderson,2018-2018,2,2,0,17,15,8.5,21,80.95,0,0,0,0,1
