,,,,,,,,,venue Chennai,,,,,
Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
TG Southee,2016-2019,8,3,2,11,9*,11,12,91.66,0,0,0,0,0
"(Mumbai Indians, Royal Challengers Bangalore)",,,,,,,,,,,,,,
JD Unadkat,2011-2024,14,2,1,11,9,11,12,91.66,0,0,0,1,0
"(Kolkata Knight Riders, Lucknow Super Giants, Rajasthan Royals, Rising Pune Supergiant, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
B Akhil,2008-2008,4,4,1,10,5,3.33,12,83.33,0,0,1,1,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
HM Amla,2016-2017,2,2,0,10,9,5,9,111.11,0,0,0,0,1
(Kings XI Punjab),,,,,,,,,,,,,,
MJ Lumb,2010-2010,1,1,0,10,10,10,18,55.55,0,0,0,1,0
(Rajasthan Royals),,,,,,,,,,,,,,
Rasikh Salam,2024-2025,2,1,0,10,10,10,12,83.33,0,0,0,1,0
"(Delhi Capitals, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
DW Steyn,2008-2019,16,5,2,10,8,3.33,16,62.5,0,0,1,1,0
"(Deccan Chargers, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
YS Chahal,2014-2025,43,6,5,9,4*,9,11,81.81,0,0,0,0,0
"(Punjab Kings, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
MD Mishra,2010-2010,1,1,0,9,9,9,11,81.81,0,0,0,2,0
(Deccan Chargers),,,,,,,,,,,,,,
AA Noffke,2008-2008,1,1,0,9,9,9,10,90,0,0,0,1,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
Vishnu Vinod,2017-2017,1,1,0,9,9,9,5,180,0,0,0,0,1
(Royal Challengers Bangalore),,,,,,,,,,,,,,
JM Bairstow,2024-2024,1,1,0,8,8,8,6,133.33,0,0,0,2,0
(Punjab Kings),,,,,,,,,,,,,,
B Lee,2011-2012,2,1,1,8,8*,-,4,200,0,0,0,0,1
(Kolkata Knight Riders),,,,,,,,,,,,,,
A Mishra,2010-2023,6,1,1,8,8*,-,14,57.14,0,0,0,0,0
"(Deccan Chargers, Delhi Daredevils, Lucknow Super Giants, Sunrisers Hyderabad)",,,,,,,,,,,,,,
TD Paine,2011-2011,1,1,0,8,8,8,17,47.05,0,0,0,0,0
(Pune Warriors),,,,,,,,,,,,,,
RR Powar,2011-2011,1,1,1,8,8*,-,6,133.33,0,0,0,0,0
(Kochi Tuskers Kerala),,,,,,,,,,,,,,
Bipul Sharma,2010-2017,3,2,1,7,5,7,6,116.66,0,0,0,1,0
"(Kings XI Punjab, Sunrisers Hyderabad)",,,,,,,,,,,,,,
HH Gibbs,2008-2012,2,2,0,7,5,3.5,13,53.84,0,0,0,1,0
"(Deccan Chargers, Mumbai Indians)",,,,,,,,,,,,,,
RV Gomez,2011-2011,1,1,0,7,7,7,15,46.66,0,0,0,1,0
(Kochi Tuskers Kerala),,,,,,,,,,,,,,
PV Tambe,2014-2016,2,1,1,7,7*,-,19,36.84,0,0,0,1,0
"(Gujarat Lions, Rajasthan Royals)",,,,,,,,,,,,,,
AJ Tye,2017-2018,2,1,0,7,7,7,7,100,0,0,0,0,0
"(Gujarat Lions, Kings XI Punjab)",,,,,,,,,,,,,,
LJ Wright,2013-2013,1,1,0,7,7,7,3,233.33,0,0,0,0,1
(Pune Warriors),,,,,,,,,,,,,,
AB Agarkar,2008-2010,2,1,1,6,6*,-,6,100,0,0,0,0,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
NM Coulter-Nile,2017-2017,2,1,0,6,6,6,4,150,0,0,0,0,1
(Kolkata Knight Riders),,,,,,,,,,,,,,
PJ Cummins,2015-2024,3,1,0,6,6,6,6,100,0,0,0,1,0
"(Delhi Daredevils, Kolkata Knight Riders, Sunrisers Hyderabad)",,,,,,,,,,,,,,
P Dogra,2010-2012,2,2,1,6,3*,6,14,42.85,0,0,0,0,0
"(Kings XI Punjab, Rajasthan Royals)",,,,,,,,,,,,,,
SB Joshi,2008-2008,2,2,0,6,3,3,14,42.85,0,0,0,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
M Markande,2018-2024,3,1,0,6,6,6,5,120,0,0,0,1,0
"(Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,
A Mithun,2011-2012,7,3,3,6,6*,-,3,200,0,0,0,1,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
M Muralidaran,2010-2014,11,1,0,6,6,6,8,75,0,0,0,0,0
"(Chennai Super Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,
AUK Pathan,2011-2012,4,4,1,6,4,2,10,60,0,0,2,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
AN Ahmed,2014-2015,3,2,1,5,4,5,3,166.66,0,0,0,1,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
DT Christian,2013-2017,2,2,0,5,4,2.5,16,31.25,0,0,0,0,0
"(Rising Pune Supergiant, Royal Challengers Bangalore)",,,,,,,,,,,,,,
JR Hopes,2008-2008,1,1,0,5,5,5,4,125,0,0,0,1,0
(Kings XI Punjab),,,,,,,,,,,,,,
AA Jhunjhunwala,2010-2010,1,1,0,5,5,5,7,71.42,0,0,0,1,0
(Rajasthan Royals),,,,,,,,,,,,,,
A Kumble,2008-2010,12,4,3,5,3,5,11,45.45,0,0,0,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
Mohammad Hafeez,2008-2008,1,1,1,5,5*,-,3,166.66,0,0,0,1,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
AG Murtaza,2011-2013,2,1,0,5,5,5,4,125,0,0,0,1,0
"(Mumbai Indians, Pune Warriors)",,,,,,,,,,,,,,
HR Shokeen,2023-2023,1,1,0,5,5,5,3,166.66,0,0,0,1,0
(Mumbai Indians),,,,,,,,,,,,,,
LR Shukla,2008-2012,2,1,0,5,5,5,8,62.5,0,0,0,0,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
J Syed Mohammad,2011-2013,3,2,1,5,4*,5,3,166.66,0,0,0,1,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
DH Yagnik,2013-2013,1,1,0,5,5,5,4,125,0,0,0,1,0
(Rajasthan Royals),,,,,,,,,,,,,,
A Chandila,2013-2013,1,1,1,4,4*,-,6,66.66,0,0,0,0,0
(Rajasthan Royals),,,,,,,,,,,,,,
Karanveer Singh,2014-2015,2,1,0,4,4,4,7,57.14,0,0,0,0,0
(Kings XI Punjab),,,,,,,,,,,,,,
DJ Mitchell,2024-2024,1,1,0,4,4,4,6,66.66,0,0,0,0,0
(Chennai Super Kings),,,,,,,,,,,,,,
Mohammad Nabi,2019-2019,1,1,0,4,4,4,3,133.33,0,0,0,1,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
M Morkel,2010-2016,5,2,1,4,2*,4,12,33.33,0,0,0,0,0
"(Delhi Daredevils, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,
CH Morris,2013-2019,5,3,1,4,4,2,8,50,0,0,1,0,0
"(Chennai Super Kings, Delhi Capitals, Delhi Daredevils)",,,,,,,,,,,,,,
DT Patil,2008-2008,1,1,0,4,4,4,1,400,0,0,0,1,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
AS Rajpoot,2017-2019,3,1,0,4,4,4,7,57.14,0,0,0,1,0
"(Kings XI Punjab, Kolkata Knight Riders)",,,,,,,,,,,,,,
PJ Sangwan,2008-2013,3,1,1,4,4*,-,2,200,0,0,0,1,0
"(Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,
Shivam Sharma,2014-2014,1,1,0,4,4,4,2,200,0,0,0,1,0
(Kings XI Punjab),,,,,,,,,,,,,,
Sunny Singh,2011-2011,1,1,0,4,4,4,5,80,0,0,0,0,0
(Kings XI Punjab),,,,,,,,,,,,,,
GH Vihari,2013-2013,1,1,1,4,4*,-,3,133.33,0,0,0,0,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
SK Warne,2008-2010,2,1,0,4,4,4,7,57.14,0,0,0,0,0
(Rajasthan Royals),,,,,,,,,,,,,,
Lalit Yadav,2023-2023,1,1,0,4,4,4,7,57.14,0,0,0,0,0
(Delhi Capitals),,,,,,,,,,,,,,
RD Gaikwad,2023-2024,2,2,0,3,3,1.5,7,42.85,0,0,1,0,0
(Chennai Super Kings),,,,,,,,,,,,,,
CJ Jordan,2016-2017,7,2,0,3,3,1.5,5,60,0,0,1,0,0
"(Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Mukesh Kumar,2024-2025,2,1,0,3,3,3,7,42.85,0,0,0,0,0
(Delhi Capitals),,,,,,,,,,,,,,
Ravi Bishnoi,2023-2024,2,1,1,3,3*,-,2,150,0,0,0,0,0
(Lucknow Super Giants),,,,,,,,,,,,,,
MJ Santner,2024-2024,1,1,0,3,3,3,4,75,0,0,0,0,0
(Chennai Super Kings),,,,,,,,,,,,,,
RJW Topley,2023-2024,3,1,1,3,3*,-,6,50,0,0,0,0,0
"(Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
SK Trivedi,2008-2013,4,2,1,3,3,3,7,42.85,0,0,0,0,0
(Rajasthan Royals),,,,,,,,,,,,,,
AS Yadav,2008-2008,1,1,1,3,3*,-,4,75,0,0,0,0,0
(Deccan Chargers),,,,,,,,,,,,,,
S Chanderpaul,2008-2008,1,1,0,2,2,2,9,22.22,0,0,0,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
Fazalhaq Farooqi,2025-2025,1,1,1,2,2*,-,2,100,0,0,0,0,0
(Rajasthan Royals),,,,,,,,,,,,,,
Harbhajan Singh,2010-2018,9,3,1,2,1*,1,6,33.33,0,0,1,0,0
"(Chennai Super Kings, Mumbai Indians)",,,,,,,,,,,,,,
Harpreet Brar,2024-2025,2,1,1,2,2*,-,2,100,0,0,0,0,0
(Punjab Kings),,,,,,,,,,,,,,
K Kushagra,2024-2024,1,1,0,2,2,2,3,66.66,0,0,0,0,0
(Delhi Capitals),,,,,,,,,,,,,,
AF Milne,2016-2017,2,1,0,2,2,2,3,66.66,0,0,0,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
WD Parnell,2023-2023,4,1,0,2,2,2,5,40,0,0,0,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
BB Samantray,2013-2013,1,1,1,2,2*,-,2,100,0,0,0,0,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
R Shukla,2014-2014,1,1,1,2,2*,-,6,33.33,0,0,0,0,0
(Delhi Daredevils),,,,,,,,,,,,,,
SB Styris,2008-2008,1,1,0,2,2,2,3,66.66,0,0,0,0,0
(Deccan Chargers),,,,,,,,,,,,,,
Abdul Basith,2023-2023,1,1,1,1,1*,-,1,100,0,0,0,0,0
(Rajasthan Royals),,,,,,,,,,,,,,
M Ashwin,2018-2019,2,1,1,1,1*,-,2,50,0,0,0,0,0
"(Kings XI Punjab, Royal Challengers Bangalore)",,,,,,,,,,,,,,
L Balaji,2010-2014,6,2,2,1,1*,-,3,33.33,0,0,0,0,0
"(Chennai Super Kings, Kings XI Punjab, Kolkata Knight Riders)",,,,,,,,,,,,,,
MS Bhandage,2025-2025,1,1,0,1,1,1,4,25,0,0,0,0,0
(Royal Challengers Bengaluru),,,,,,,,,,,,,,
CR Brathwaite,2016-2017,2,1,0,1,1,1,5,20,0,0,0,0,0
(Delhi Daredevils),,,,,,,,,,,,,,
TU Deshpande,2023-2025,3,1,1,1,1*,-,2,50,0,0,0,0,0
"(Chennai Super Kings, Rajasthan Royals)",,,,,,,,,,,,,,
YV Dhull,2023-2023,1,1,0,1,1,1,4,25,0,0,0,0,0
(Delhi Capitals),,,,,,,,,,,,,,
AB Dinda,2008-2016,8,2,1,1,1*,1,2,50,0,0,1,0,0
"(Kolkata Knight Riders, Pune Warriors, Rising Pune Supergiants, Royal Challengers Bangalore)",,,,,,,,,,,,,,
Harpreet Singh,2011-2011,1,1,1,1,1*,-,1,100,0,0,0,0,0
(Pune Warriors),,,,,,,,,,,,,,
SB Jakati,2011-2016,4,2,2,1,1*,-,2,50,0,0,0,0,0
"(Chennai Super Kings, Gujarat Lions, Royal Challengers Bangalore)",,,,,,,,,,,,,,
MJ McClenaghan,2015-2019,5,3,1,1,1,0.5,5,20,0,0,1,0,0
(Mumbai Indians),,,,,,,,,,,,,,
BAW Mendis,2010-2010,1,1,1,1,1*,-,1,100,0,0,0,0,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
Mohammed Shami,2014-2023,4,1,1,1,1*,-,1,100,0,0,0,0,0
"(Delhi Daredevils, Gujarat Titans, Kings XI Punjab)",,,,,,,,,,,,,,
Pankaj Singh,2010-2012,2,1,0,1,1,1,2,50,0,0,0,0,0
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
P Parameswaran,2011-2012,2,1,1,1,1*,-,1,100,0,0,0,0,0
"(Kochi Tuskers Kerala, Royal Challengers Bangalore)",,,,,,,,,,,,,,
Shahid Afridi,2008-2008,1,1,0,1,1,1,2,50,0,0,0,0,0
(Deccan Chargers),,,,,,,,,,,,,,
RP Singh,2008-2016,12,2,1,1,1*,1,1,100,0,0,1,0,0
"(Deccan Chargers, Kochi Tuskers Kerala, Mumbai Indians, Rising Pune Supergiants, Royal Challengers Bangalore)",,,,,,,,,,,,,,
MJ Suthar,2024-2024,1,1,0,1,1,1,2,50,0,0,0,0,0
(Gujarat Titans),,,,,,,,,,,,,,
SW Tait,2013-2013,1,1,0,1,1,1,3,33.33,0,0,0,0,0
(Rajasthan Royals),,,,,,,,,,,,,,
SN Thakur,2017-2024,4,3,1,1,1*,0.5,3,33.33,0,0,2,0,0
"(Chennai Super Kings, Rising Pune Supergiant)",,,,,,,,,,,,,,
CR Woakes,2017-2018,4,2,2,1,1*,-,3,33.33,0,0,0,0,0
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,
MA Wood,2023-2023,1,1,0,1,1,1,2,50,0,0,0,0,0
(Lucknow Super Giants),,,,,,,,,,,,,,
KJ Abbott,2016-2016,1,1,0,0,0,0,1,0,0,0,1,0,0
(Kings XI Punjab),,,,,,,,,,,,,,
L Ablish,2011-2011,1,1,1,0,0*,-,2,0,0,0,0,0,0
(Kings XI Punjab),,,,,,,,,,,,,,
Anureet Singh,2015-2015,1,1,0,0,0,0,2,0,0,0,1,0,0
(Kings XI Punjab),,,,,,,,,,,,,,
JC Archer,2023-2025,2,1,0,0,0,0,1,0,0,0,1,0,0
"(Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,
Avesh Khan,2023-2023,1,1,1,0,0*,-,1,0,0,0,0,0,0
(Lucknow Super Giants),,,,,,,,,,,,,,
F Behardien,2016-2016,1,1,0,0,0,0,1,0,0,0,1,0,0
(Kings XI Punjab),,,,,,,,,,,,,,
JJ Bumrah,2013-2019,7,1,1,0,0*,-,1,0,0,0,0,0,0
(Mumbai Indians),,,,,,,,,,,,,,
SD Chauhan,2024-2024,1,1,0,0,0,0,1,0,0,0,1,0,0
(Royal Challengers Bengaluru),,,,,,,,,,,,,,
MJ Dagar,2024-2024,3,1,0,0,0,0,1,0,0,0,1,0,0
(Royal Challengers Bengaluru),,,,,,,,,,,,,,
JR Hazlewood,2025-2025,4,1,1,0,0*,-,1,0,0,0,0,0,0
(Royal Challengers Bengaluru),,,,,,,,,,,,,,
S Kaushik,2016-2016,1,1,0,0,0,0,1,0,0,0,1,0,0
(Gujarat Lions),,,,,,,,,,,,,,
KR Mayers,2023-2023,1,1,0,0,0,0,3,0,0,0,1,0,0
(Lucknow Super Giants),,,,,,,,,,,,,,
TS Mills,2017-2017,2,1,0,0,0,0,3,0,0,0,1,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
Mujeeb Ur Rahman,2018-2018,1,1,0,0,0,0,2,0,0,0,1,0,0
(Kings XI Punjab),,,,,,,,,,,,,,
S Nadeem,2012-2018,5,1,0,0,0,0,2,0,0,0,1,0,0
(Delhi Daredevils),,,,,,,,,,,,,,
S Narwal,2010-2010,1,1,0,0,0,0,1,0,0,0,1,0,0
(Rajasthan Royals),,,,,,,,,,,,,,
A Nehra,2008-2016,6,1,1,0,0*,-,1,0,0,0,0,0,0
"(Chennai Super Kings, Delhi Daredevils, Mumbai Indians, Pune Warriors, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Noor Ahmad,2023-2024,2,1,1,0,0*,-,0,-,0,0,0,0,0
(Gujarat Titans),,,,,,,,,,,,,,
JDP Oram,2008-2013,2,1,1,0,0*,-,0,-,0,0,0,0,0
"(Chennai Super Kings, Mumbai Indians)",,,,,,,,,,,,,,
IC Pandey,2013-2015,2,1,0,0,0,0,2,0,0,0,1,0,0
"(Chennai Super Kings, Pune Warriors)",,,,,,,,,,,,,,
MM Patel,2008-2013,5,1,0,0,0,0,2,0,0,0,1,0,0
"(Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,
M Rawat,2008-2008,1,1,0,0,0,0,2,0,0,0,1,0,0
(Rajasthan Royals),,,,,,,,,,,,,,
NA Saini,2019-2019,7,1,1,0,0*,-,1,0,0,0,0,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
MD Shanaka,2023-2023,1,1,0,0,0,0,3,0,0,0,1,0,0
(Gujarat Titans),,,,,,,,,,,,,,
I Sharma,2008-2025,7,2,1,0,0*,0,6,0,0,0,1,0,0
"(Delhi Capitals, Gujarat Titans, Kolkata Knight Riders, Sunrisers Hyderabad)",,,,,,,,,,,,,,
S Sreesanth,2008-2013,3,1,0,0,0,0,2,0,0,0,1,0,0
"(Kings XI Punjab, Rajasthan Royals)",,,,,,,,,,,,,,
GC Viljoen,2019-2019,1,1,0,0,0,0,1,0,0,0,1,0,0
(Kings XI Punjab),,,,,,,,,,,,,,
Yash Dayal,2023-2025,12,1,0,0,0,0,1,0,0,0,1,0,0
"(Gujarat Titans, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
P Amarnath,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
(Chennai Super Kings),,,,,,,,,,,,,,
YA Abdulla,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
(Kings XI Punjab),,,,,,,,,,,,,,
KK Ahmed,2019-2024,2,-,-,-,-,-,-,-,-,-,-,-,-
"(Delhi Capitals, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Akash Deep,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
(Royal Challengers Bangalore),,,,,,,,,,,,,,
Akash Singh,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
(Chennai Super Kings),,,,,,,,,,,,,,
Anand Rajan,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-
(Deccan Chargers),,,,,,,,,,,,,,
Ankit Soni,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,-
(Gujarat Lions),,,,,,,,,,,,,,
KP Appanna,2012-2012,3,-,-,-,-,-,-,-,-,-,-,-,-
(Royal Challengers Bangalore),,,,,,,,,,,,,,
VG Arora,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
(Kolkata Knight Riders),,,,,,,,,,,,,,
Arshdeep Singh,2024-2025,2,-,-,-,-,-,-,-,-,-,-,-,-
(Punjab Kings),,,,,,,,,,,,,,
P Awana,2012-2014,3,-,-,-,-,-,-,-,-,-,-,-,-
(Kings XI Punjab),,,,,,,,,,,,,,
XC Bartlett,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-
(Punjab Kings),,,,,,,,,,,,,,
Basil Thampi,2017-2019,3,-,-,-,-,-,-,-,-,-,-,-,-
"(Gujarat Lions, Sunrisers Hyderabad)",,,,,,,,,,,,,,
JP Behrendorff,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
(Mumbai Indians),,,,,,,,,,,,,,
DE Bollinger,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
(Chennai Super Kings),,,,,,,,,,,,,,
J Botha,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-
(Rajasthan Royals),,,,,,,,,,,,,,
TA Boult,2015-2023,4,-,-,-,-,-,-,-,-,-,-,-,-
"(Delhi Daredevils, Kolkata Knight Riders, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,
DL Chahar,2018-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
(Chennai Super Kings),,,,,,,,,,,,,,
RD Chahar,2017-2024,2,-,-,-,-,-,-,-,-,-,-,-,-
"(Punjab Kings, Rising Pune Supergiant)",,,,,,,,,,,,,,
LH Ferguson,2019-2024,4,-,-,-,-,-,-,-,-,-,-,-,-
"(Kolkata Knight Riders, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
CRD Fernando,2008-2010,2,-,-,-,-,-,-,-,-,-,-,-,-
(Mumbai Indians),,,,,,,,,,,,,,
Gagandeep Singh,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
(Kings XI Punjab),,,,,,,,,,,,,,
MS Gony,2008-2013,2,-,-,-,-,-,-,-,-,-,-,-,-
"(Chennai Super Kings, Kings XI Punjab)",,,,,,,,,,,,,,
S Gopal,2018-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
(Rajasthan Royals),,,,,,,,,,,,,,
K Gowtham,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-
(Rajasthan Royals),,,,,,,,,,,,,,
Harmeet Singh,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
(Deccan Chargers),,,,,,,,,,,,,,
Harshit Rana,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
(Kolkata Knight Riders),,,,,,,,,,,,,,
BW Hilfenhaus,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-
(Chennai Super Kings),,,,,,,,,,,,,,
GB Hogg,2012-2015,2,-,-,-,-,-,-,-,-,-,-,-,-
"(Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,
JO Holder,2013-2023,2,-,-,-,-,-,-,-,-,-,-,-,-
"(Chennai Super Kings, Rajasthan Royals)",,,,,,,,,,,,,,
Imran Tahir,2014-2019,4,-,-,-,-,-,-,-,-,-,-,-,-
"(Chennai Super Kings, Delhi Daredevils, Rising Pune Supergiant)",,,,,,,,,,,,,,
SP Jackson,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,-
(Kolkata Knight Riders),,,,,,,,,,,,,,
M Jansen,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-
(Punjab Kings),,,,,,,,,,,,,,
Joginder Sharma,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
(Chennai Super Kings),,,,,,,,,,,,,,
AS Joseph,2024-2024,2,-,-,-,-,-,-,-,-,-,-,-,-
(Royal Challengers Bengaluru),,,,,,,,,,,,,,
Kamran Khan,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
(Pune Warriors),,,,,,,,,,,,,,
M Kartik,2008-2013,5,-,-,-,-,-,-,-,-,-,-,-,-
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,
S Kaul,2014-2018,3,-,-,-,-,-,-,-,-,-,-,-,-
"(Delhi Daredevils, Sunrisers Hyderabad)",,,,,,,,,,,,,,
U Kaul,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
(Kings XI Punjab),,,,,,,,,,,,,,
K Khejroliya,2018-2019,4,-,-,-,-,-,-,-,-,-,-,-,-
(Royal Challengers Bangalore),,,,,,,,,,,,,,
S Lamichhane,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
(Delhi Capitals),,,,,,,,,,,,,,
CK Langeveldt,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
(Royal Challengers Bangalore),,,,,,,,,,,,,,
B Laughlin,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-
(Rajasthan Royals),,,,,,,,,,,,,,
JB Little,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
(Gujarat Titans),,,,,,,,,,,,,,
GD McGrath,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
(Delhi Daredevils),,,,,,,,,,,,,,
VY Mahesh,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
(Delhi Daredevils),,,,,,,,,,,,,,
AL Menaria,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-
(Rajasthan Royals),,,,,,,,,,,,,,
Mustafizur Rahman,2016-2023,3,-,-,-,-,-,-,-,-,-,-,-,-
"(Delhi Capitals, Sunrisers Hyderabad)",,,,,,,,,,,,,,
DP Nannes,2010-2011,2,-,-,-,-,-,-,-,-,-,-,-,-
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,
T Natarajan,2017-2024,2,-,-,-,-,-,-,-,-,-,-,-,-
"(Kings XI Punjab, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Naveen-ul-Haq,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
(Lucknow Super Giants),,,,,,,,,,,,,,
V Nigam,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-
(Delhi Capitals),,,,,,,,,,,,,,
K Nitish Kumar Reddy,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
(Sunrisers Hyderabad),,,,,,,,,,,,,,
PP Ojha,2008-2010,2,-,-,-,-,-,-,-,-,-,-,-,-
(Deccan Chargers),,,,,,,,,,,,,,
Parvez Rasool,2016-2016,3,-,-,-,-,-,-,-,-,-,-,-,-
(Royal Challengers Bangalore),,,,,,,,,,,,,,
M Pathirana,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
(Chennai Super Kings),,,,,,,,,,,,,,
SM Pollock,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
(Mumbai Indians),,,,,,,,,,,,,,
M Prasidh Krishna,2019-2025,2,-,-,-,-,-,-,-,-,-,-,-,-
"(Gujarat Titans, Kolkata Knight Riders)",,,,,,,,,,,,,,
V Pratap Singh,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-
(Deccan Chargers),,,,,,,,,,,,,,
K Rabada,2019-2024,2,-,-,-,-,-,-,-,-,-,-,-,-
"(Delhi Capitals, Punjab Kings)",,,,,,,,,,,,,,
A Raghuvanshi,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
(Kolkata Knight Riders),,,,,,,,,,,,,,
Ramandeep Singh,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
(Kolkata Knight Riders),,,,,,,,,,,,,,
KW Richardson,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-
(Rajasthan Royals),,,,,,,,,,,,,,
AS Roy,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
(Kolkata Knight Riders),,,,,,,,,,,,,,
R Sai Kishore,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-
(Gujarat Titans),,,,,,,,,,,,,,
D Salunkhe,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
(Rajasthan Royals),,,,,,,,,,,,,,
GS Sandhu,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-
(Delhi Daredevils),,,,,,,,,,,,,,
T Shamsi,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-
(Royal Challengers Bangalore),,,,,,,,,,,,,,
AR Sharma,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-
(Delhi Capitals),,,,,,,,,,,,,,
H Sharma,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
(Royal Challengers Bangalore),,,,,,,,,,,,,,
R Sharma,2011-2012,2,-,-,-,-,-,-,-,-,-,-,-,-
